name,Michelin stars,year,latitude,longitude,city,region,zipCode,cuisine,price,url,price_str,age_of_recognition,geo_group,cuisine_group,has_url,price_numeric
James Sommerin,1,2019-01-01,51.434387,-3.167951,Penarth,United Kingdom,CF64 3AU,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/the-vale-of-glamorgan/penarth/restaurant/james-sommerin,Not Specified,4,North-West,Modern cuisine,1,
Jardin de Jade (Wan Chai),1,2019-01-01,22.28025,114.17716,Hong Kong,Hong Kong,Unknown,Shanghainese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai,2,4,North-East,Shanghainese,1,2.0
Jay Fai,1,2019-01-01,13.752614,100.50466,Bangkok,Thailand,Unknown,Street Food,2,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/jay-fai,2,4,North-East,Street Food,1,2.0
Jean-Georges,2,2019-01-01,40.76907,-73.98155,New York,New York City,10023,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges,4,4,North-West,Contemporary,1,4.0
Jeju Noodle Bar,1,2019-01-01,40.732952,-74.00744,New York,New York City,10014,Korean,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jeju-noodle-bar,2,4,North-West,Korean,1,2.0
Jewel Bako,1,2019-01-01,40.72713,-73.98928,New York,New York City,10003,Japanese,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jewel-bako,3,4,North-West,Japanese,1,3.0
Jiang-Nan Chun,1,2018-01-01,1.304937,103.8288,Singapore,Singapore,Unknown,Cantonese,3,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/jiang-nan-chun,3,5,North-East,Chinese,1,3.0
Jin Jin,1,2019-01-01,37.55777,126.91324,Seoul,South Korea,Unknown,Chinese,1,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/jin-jin,1,4,North-East,Chinese,1,1.0
John's House,1,2019-01-01,52.73295,-1.145851,Mountsorrel,United Kingdom,LE12 7AR,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/leicestershire/mountsorrel/restaurant/john-s-house,Not Specified,4,North-West,Modern cuisine,1,
Joo Ok,1,2019-01-01,37.52252,127.04396,Seoul,South Korea,Unknown,Korean contemporary,3,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/joo-ok,3,4,North-East,Korean contemporary,1,3.0
